"vyzh-pff9","https://data.austintexas.gov/stories/s/e8bv-yc47"
"ptqn-qy7w","https://data.austintexas.gov/stories/s/ecc5-fpih"
"pk4m-9m35","https://data.austintexas.gov/stories/s/nk97-it22"
"gqcq-eh8a","https://data.austintexas.gov/stories/s/kgai-y8vi"
"vy6e-hg3r","https://data.austintexas.gov/stories/s/mzed-5b3e"
"rris-6n6y","https://data.austintexas.gov/stories/s/jaia-eaet"
"ikqh-wpsx","https://data.austintexas.gov/stories/s/nhps-8c54"
"4itq-5e92","https://data.austintexas.gov/stories/s/xjsh-9y46"
"8cwu-6u8r","https://data.austintexas.gov/stories/s/rzxy-tiqz"
"c7i8-cpd4","https://data.austintexas.gov/stories/s/itfb-it5x"
"fn6w-y4du","https://data.austintexas.gov/stories/s/hfbb-kg6t"
"ypz5-aunj","https://data.austintexas.gov/stories/s/3dbr-g3ga"
"hvvx-yqt6","https://data.austintexas.gov/stories/s/Percentage-of-all-Austin-ZIP-Codes-where-70-percen/scuh-nqaj/"
"g9tz-dcfe","https://data.austintexas.gov/stories/s/6p8t-s826"
"4cp4-77ub","https://data.austintexas.gov/stories/s/ay42-mvrx"
"635m-2f8c","https://data.austintexas.gov/stories/s/ht8x-aijb"
"98qh-nyzn","https://data.austintexas.gov/stories/s/4uke-bhq2"
"kvwm-pmce","https://data.austintexas.gov/stories/s/t3y8-ur2q"
"s2fz-n3kt","https://data.austintexas.gov/stories/s/Number-and-Percentage-of-Austin-History-Center-Arc/w8rh-7qm2/"
"xh2s-5fx9","https://data.austintexas.gov/stories/s/szmj-28ws"
"rvpx-qf56","https://data.austintexas.gov/stories/s/jsbv-h3zh"
"2c9z-tp5e","https://data.austintexas.gov/stories/s/rxmc-jicb"
"6bit-84aw","https://data.austintexas.gov/stories/s/epgk-j68z"
"ap7s-5fha","https://data.austintexas.gov/stories/s/Percentage-Unemployment-Rate/ehhu-nafn/"
"acsm-425i","https://data.austintexas.gov/stories/s/ndb5-si22"
"uxu5-5ujt","https://data.austintexas.gov/stories/s/i3wc-jv64"
"j9tj-xga9","https://data.austintexas.gov/stories/s/nqxm-rcm7"
"g8mf-uir4","https://data.austintexas.gov/stories/s/9q8x-qhyx"
"ikrg-njck","https://data.austintexas.gov/stories/s/hgbb-jkth/"
"cy58-57m6","https://data.austintexas.gov/stories/s/kgf9-tcgd"
"fnnn-idmk","https://data.austintexas.gov/stories/s/i3a3-vjnc"
"4d4p-yxap","https://data.austintexas.gov/stories/s/qn7g-mcec"
"rngs-zs86","https://data.austintexas.gov/stories/s/xf9r-hzjn"
"eg7c-dzmy","https://data.austintexas.gov/stories/s/hynm-5nw6"
"srfz-ermr","https://data.austintexas.gov/stories/s/Median-Family-Income/r93e-edn2"
"k66u-5h8v","https://data.austintexas.gov/stories/s/tevy-4u2b"
"w7fi-einn","https://data.austintexas.gov/stories/s/rt9q-qkym"
"ue2c-mmdw","https://data.austintexas.gov/stories/s/f35r-94j2"
"k958-mx8j","https://data.austintexas.gov/stories/s/t4es-hvsj"
"64an-ghxu","https://data.austintexas.gov/stories/s/w8c4-v9a2"
"hc3j-aane","https://data.austintexas.gov/stories/s/Dollar-Amount-and-Percentage-Increase-of-Major-Rat/56uv-46qi/"
"rbk5-2jhe","https://data.austintexas.gov/stories/s/rw4g-mrjp"
"74ue-wamp","https://data.austintexas.gov/stories/s/kiyh-6vgk"
"skjw-bbzi","https://data.austintexas.gov/stories/s/gads-qvs9"
"n3th-2tsi","https://data.austintexas.gov/stories/s/psuj-t6cd"
"5nes-z6nx","https://data.austintexas.gov/stories/s/uu7b-psr5"
"jru4-q79c","https://data.austintexas.gov/stories/s/gsim-6kur"
"xtsb-4vah","https://data.austintexas.gov/stories/s/467h-5vx9"
"bb6w-xwe3","https://data.austintexas.gov/stories/s/Austin-s-share-of-regional-households-whose-income/776m-fsj6"
"batu-t4us","https://data.austintexas.gov/stories/s/n78t-2him"
"r5bk-9mi2","https://data.austintexas.gov/stories/s/b9ik-7u7k"
"ijas-gc8k","https://data.austintexas.gov/stories/s/45mr-a27j"
"j9i7-ybsv","https://data.austintexas.gov/stories/s/xfnx-fpv8"
"uu4y-ds7f","https://data.austintexas.gov/stories/s/muck-3gny/"
"crdh-ah3n","https://data.austintexas.gov/stories/s/Number-and-percentage-of-children-enrolled-in-qual/sube-u7vs/"
"2ngs-x2ss","https://data.austintexas.gov/stories/s/Number-and-percentage-of-leased-affordable-housing/hutb-dgbt/"
"ty7q-khb4","https://data.austintexas.gov/stories/s/xg7g-9uru"
"mpmw-343f","https://data.austintexas.gov/stories/s/Number-of-households-benefiting-from-Customer-Assi/g4mj-r352/"
"bn5p-ipf2","https://data.austintexas.gov/stories/s/7kz2-s6y2"
"4uxy-xm3c","https://data.austintexas.gov/stories/s/6zse-f8st"
"bmzy-x8zg","https://data.austintexas.gov/stories/s/iis6-xsd9"
"53gw-wgtb","https://data.austintexas.gov/stories/s/ixex-hibp"
"tqy6-wz8s","https://data.austintexas.gov/stories/s/we9n-h6yb"
"sr7s-mvh9","https://data.austintexas.gov/stories/s/Financial-Stability-of-the-City-of-Austin-Employee/d4mh-eiif"
"9k2b-m7em","https://data.austintexas.gov/stories/s/Percent-Variance-Between-Actual-and-Budgeted-Reven/wmvj-b5er/"
"sgqq-ez3z","https://data.austintexas.gov/stories/s/ry4y-hdrx"
"nhcq-5kb3","https://data.austintexas.gov/stories/s/c8hg-ts4g"
"txeg-w6zg","https://data.austintexas.gov/stories/s/9853-zew9/"
"kqyj-gen7","https://data.austintexas.gov/stories/s/vhpk-mfsd"
"xn4e-kx9i","https://data.austintexas.gov/stories/s/Percentage-of-infrastructure-that-is-classified-as/smwq-cx27/"
"w4qa-7v8q","https://data.austintexas.gov/stories/s/vwkq-mns4"
"ndei-d6na","https://data.austintexas.gov/stories/s/rzhz-fjps"
"4wt9-t7ji","https://data.austintexas.gov/stories/s/h3ch-7b65"
"jk57-mffw","https://data.austintexas.gov/stories/s/tphy-2fke"
"hm9s-etdq","https://data.austintexas.gov/stories/s/w6g5-m7dq"
"6v3w-khcr","https://data.austintexas.gov/stories/s/burb-rtic"
"dexy-rdsy","https://data.austintexas.gov/stories/s/m3e2-645p"
"yqek-atc9","https://data.austintexas.gov/stories/s/3fm3-4xds"
"hmad-nm7s","https://data.austintexas.gov/stories/s/deu4-w2cd"
"fj9w-ausv","https://data.austintexas.gov/stories/s/knhk-nvyy"
"7u3n-ad83","https://data.austintexas.gov/stories/s/nfcx-g3j5"
"egx8-gc67","https://data.austintexas.gov/stories/s/3rz5-26z3"
"tvxr-rsgv","https://data.austintexas.gov/stories/s/vmrk-df46"
"6sry-88yk","https://data.austintexas.gov/stories/s/Percentage-of-City-employees-who-have-completed-di/9832-e8v2/"
"yii6-q5nw","https://data.austintexas.gov/stories/s/yigs-zznh"
"vnxz-qad4","https://data.austintexas.gov/stories/s/6b4k-85mv"
"cwkx-8mzv","https://data.austintexas.gov/stories/s/Percentage-of-datasets-published-in-the-Open-Data-/jfmf-nkgg"
"c7kh-f49x","https://data.austintexas.gov/stories/s/Ethics-Review-Commission-Data-Story/reex-zx6g/"
"ty3d-ptip","https://data.austintexas.gov/stories/s/fb9k-gfz5"
"8n6n-6qr2","https://data.austintexas.gov/stories/s/cvz3-7ikr"
"33g7-4pcx","https://data.austintexas.gov/stories/s/mxzy-r35z"
"9aay-3ybv","https://data.austintexas.gov/stories/s/7xkh-64hz"
"xqiw-n8zw","https://data.austintexas.gov/stories/s/j59v-ghj7"
